Date: 03-10-2024
Paper Title,Upvotes
RATIONALYST: Pre-training Process-Supervision for Improving Reasoning,23
PHI-S: Distribution Balancing for Label-Free Multi-Teacher Distillation,21
LEOPARD : A Vision Language Model For Text-Rich Multi-Image Tasks,20
From Code to Correctness: Closing the Last Mile of Code Generation with Hierarchical Debugging,17
Quantifying Generalization Complexity for Large Language Models,11
ComfyGen: Prompt-Adaptive Workflows for Text-to-Image Generation,11
Not All LLM Reasoners Are Created Equal,11
Is Preference Alignment Always the Best Option to Enhance LLM-Based Translation? An Empirical Analysis,7
HelpSteer2-Preference: Complementing Ratings with Preferences,7
MOSEL: 950,000 Hours of Speech Data for Open-Source Speech Foundation Model Training on EU Languages,6
3DGS-DET: Empower 3D Gaussian Splatting with Boundary Guidance and Box-Focused Sampling for 3D Object Detection,5
FactAlign: Long-form Factuality Alignment of Large Language Models,4

Date: 02-10-2024
Paper Title,Upvotes
Law of the Weakest Link: Cross Capabilities of Large Language Models,34
TPI-LLM: Serving 70B-scale LLMs Efficiently on Low-resource Edge Devices,20
One Token to Seg Them All: Language Instructed Reasoning Segmentation in Videos,13
Flex3D: Feed-Forward 3D Generation With Flexible Reconstruction Model And Input View Curation,11
Illustrious: an Open Advanced Illustration Model,8
ACE: All-round Creator and Editor Following Instructions via Diffusion Transformer,8
Atlas-Chat: Adapting Large Language Models for Low-Resource Moroccan Arabic Dialect,8
SyntheOcc: Synthesize Geometric-Controlled Street View Images through 3D Semantic MPIs,7
Posterior-Mean Rectified Flow: Towards Minimum MSE Photo-Realistic Image Restoration,6
DressRecon: Freeform 4D Human Reconstruction from Monocular Video,5
Visual Context Window Extension: A New Perspective for Long Video Understanding,5
Helpful DoggyBot: Open-World Object Fetching using Legged Robots and Vision-Language Models,5

Date: 01-10-2024
Paper Title,Upvotes
MM1.5: Methods, Analysis & Insights from Multimodal LLM Fine-tuning,26
Ruler: A Model-Agnostic Method to Control Generated Length for Large Language Models,17
DiaSynth -- Synthetic Dialogue Generation Framework,15
Hyper-Connections,10
Scaling Proprioceptive-Visual Learning with Heterogeneous Pre-trained Transformers,9
UniAff: A Unified Representation of Affordances for Tool Usage and Articulation with Vision-Language Models,9
Cottention: Linear Transformers With Cosine Attention,7
Image Copy Detection for Diffusion Models,6
Coffee-Gym: An Environment for Evaluating and Improving Natural Language Feedback on Erroneous Code,5
Can Models Learn Skill Composition from Examples?,4
Visual Question Decomposition on Multimodal Large Language Models,3
IDEAW: Robust Neural Audio Watermarking with Invertible Dual-Embedding,1

Date: 30-09-2024
Paper Title,Upvotes
Emu3: Next-Token Prediction is All You Need, 47
MIO: A Foundation Model on Multimodal Tokens, 32
VPTQ: Extreme Low-bit Vector Post-Training Quantization for Large Language Models, 16
PhysGen: Rigid-Body Physics-Grounded Image-to-Video Generation, 14
MinerU: An Open-Source Solution for Precise Document Content Extraction, 10
Modulated Intervention Preference Optimization (MIPO): Keep the Easy, Refine the Difficult, 9
HDFlow: Enhancing LLM Complex Problem-Solving with Hybrid Thinking and Dynamic Workflows, 5
A Survey on the Honesty of Large Language Models, 5
MSI-Agent: Incorporating Multi-Scale Insight into Embodied Agents for Superior Planning and Decision-Making, 5
LML: Language Model Learning a Dataset for Data-Augmented Prediction, 3

Date: 27-09-2024
Paper Title,Upvotes
MaskLLM: Learnable Semi-Structured Sparsity for Large Language Models, 25
LLaVA-3D: A Simple yet Effective Pathway to Empowering LMMs with 3D-awareness, 21
EMOVA: Empowering Language Models to See, Hear and Speak with Vivid Emotions, 19
Discovering the Gems in Early Layers: Accelerating Long-Context LLMs with 1000x Input Token Reduction, 13
Lotus: Diffusion-based Visual Foundation Model for High-quality Dense Prediction, 13
