Date: 07-11-2024
Paper Title,Upvotes
OpenCoder: The Open Cookbook for Top-Tier Code Large Language Models,41
ReCapture: Generative Video Camera Controls for User-Provided Videos using Masked Video Fine-Tuning,29
BitNet a4.8: 4-bit Activations for 1-bit LLMs,20
DimensionX: Create Any 3D and 4D Scenes from a Single Image with Controllable Video Diffusion,10
Mixture-of-Transformers: A Sparse and Scalable Architecture for Multi-Modal Foundation Models,10
Thanos: Enhancing Conversational Agents with Skill-of-Mind-Infused Large Language Model,7
TIP-I2V: A Million-Scale Real Text and Image Prompt Dataset for Image-to-Video Generation,7
VideoGLaMM: A Large Multimodal Model for Pixel-Level Visual Grounding in Videos,6
DynaMem: Online Dynamic Spatio-Semantic Memory for Open World Mobile Manipulation,6
Needle Threading: Can LLMs Follow Threads through Near-Million-Scale Haystacks?,5
SVDQunat: Absorbing Outliers by Low-Rank Components for 4-Bit Diffusion Models,5
SG-I2V: Self-Guided Trajectory Control in Image-to-Video Generation,5
GazeGen: Gaze-Driven User Interaction for Visual Content Generation,4
RetrieveGPT: Merging Prompts and Mathematical Models for Enhanced Code-Mixed Information Retrieval,4
Diff-2-in-1: Bridging Generation and Dense Perception with Diffusion Models,1
M3DocRAG: Multi-modal Retrieval is What You Need for Multi-page Multi-document Understanding

Date: 06-11-2024
Paper Title,Upvotes
Both Text and Images Leaked! A Systematic Analysis of Multimodal LLM Data Contamination,36
Large Language Models Orchestrating Structured Reasoning Achieve Kaggle Grandmaster Level,32
Polynomial Composition Activations: Unleashing the Dynamics of Large Language Models,13
Self-Consistency Preference Optimization,7
From Medprompt to o1: Exploration of Run-Time Strategies for Medical Challenge Problems and Beyond,5

Date: 05-11-2024
Paper Title,Upvotes
HtmlRAG: HTML is Better Than Plain Text for Modeling Retrieved Knowledge in RAG Systems,49
LLaMo: Large Language Model-based Molecular Graph Assistant,17
Controlling Language and Diffusion Models by Transporting Activations,14
DeeR-VLA: Dynamic Inference of Multimodal Large Language Models for Efficient Robot Execution,12
Adaptive Length Image Tokenization via Recurrent Allocation,10
Sample-Efficient Alignment for LLMs,10
DreamPolish: Domain Score Distillation With Progressive Geometry Generation,9
GarVerseLOD: High-Fidelity 3D Garment Reconstruction from a Single In-the-Wild Image using a Dataset with Levels of Details,6
Inference Optimal VLMs Need Only One Visual Token but Larger Models,5
Zebra-Llama: A Context-Aware Large Language Model for Democratizing Rare Disease Knowledge,5
Correlation of Object Detection Performance with Visual Saliency and Depth Estimation,3

Date: 04-11-2024
Paper Title,Upvotes
AndroidLab: Training and Systematic Benchmarking of Android Autonomous Agents,45
